,english_name,french_name,spanish_name,Country,ISO639-3_codes,endangerment_degree,alternate_names,name_in_the_language,number_of_speakers,Latitude,Longitude,location_description,GDP_per_capita_US_dollars,expenditure_on_research_and_development_GDP_percentage,co2_emissions_percapita_metric_tons,tourist_arrivals_thousands,threatened_species_total_number,expenditure_on_secondary_education,population_mid_year_estimates_millions,international_migrants_number,land_area_thousand_hectars,internet_usage_percentage_of_people,expenditure_on_education_percentage_GDP,expenditure_on_health_percentage_of_GDP,continent,family,language_vitality_level,country_vitality_level,Continent
727,Gawar-Bati,gawar-bati,gavar-batí,Pakistan,gwt,Definitely endangered,"Gowari, Narsati, Narisati, Arandui, Satre",NA,9500,35.158,71.4083,"Kunar Valley, Afghanistan; Arandu, Southern Chitral, Pakistan",973,0.4,0.7,907,109,4154,179.42,3943681,77088,8,2.3,2.6,Eurasia,Indo-European,4,4.037037037,Asia
728,Gawar-Bati,gawar-bati,gavar-batí,Afghanistan,gwt,Definitely endangered,"Gowari, Narsati, Narisati, Arandui, Satre",NA,9500,35.158,71.4083,"Kunar Valley, Afghanistan; Arandu, Southern Chitral, Pakistan",504,NA,NA,NA,34,567,29.19,102276,65286,4,3.5,8.6,Eurasia,Indo-European,4,3.695652174,Asia
729,Taruang,darang deng,digarú,China,mhu,Vulnerable,"Digaru Mishmi, Taraon, Darang Deng",NA,9332,28.12,95.88,NA,4447,1.7,5.9,55664,859,44693,1368.81,849861,942470,34.3,NA,4.2,NA,NA,5,3.587837838,Asia
730,Taruang,darang deng,digarú,India,mhu,Vulnerable,"Digaru Mishmi, Taraon, Darang Deng",NA,9332,28.12,95.88,NA,1353,0.8,1.3,5776,758,48266,1234.28,5574018,297319,7.5,3.4,3.3,NA,NA,5,3.869346734,Asia
731,Taruang,darang deng,digarú,Myanmar,mhu,Vulnerable,"Digaru Mishmi, Taraon, Darang Deng",NA,9332,28.12,95.88,NA,886,0.2,0.2,792,249,674,50.6,76414,65326,0.3,0.8,1.9,NA,NA,5,2.964285714,Asia
732,Khaling,khaling,jalingo,Nepal,klr,Definitely endangered,खालिङ; Khael; Khäl,NA,9288,27.5781,86.7163,Solukhumbu district,603,0.3,0.2,603,93,1090,27.01,581889,14335,7.9,3.8,5,Eurasia,Sino-Tibetan,4,3.85915493,Asia
733,Western Tarahumara,tarahumara occidental,tarahumara occidental,Mexico,NA,Vulnerable,rarómari raicha,NA,9196,27.3361,-108.5007,"Municipalities of Chínipas, Maguarichi, Rocoroibo, Urique and Uruachi in the state of Chihuahua",9271,0.5,3.9,23290,943,4055,114.09,969710,194395,31.1,5.2,6,NA,NA,5,3.846153846,North America
734,Nunavimmiutitut,nunavimmiutitut,nunavimmiutitut,Canada,ike,Vulnerable,NA,NA,9105,58.1665,-68.3605,Spread over 15 communities in Canada,47361,1.8,15.5,16219,77,1812,34.15,6761226,896559,80.3,5.3,10.7,NA,NA,5,3.322580645,North America
735,Woods Cree,cree des bois,clisteno del bosque,Canada,cwd,Vulnerable,Rocky Cree,NA,9095,55.1711,-102.9061,Spread over 24 communities in Canada,47361,1.8,15.5,16219,77,1812,34.15,6761226,896559,80.3,5.3,10.7,North America,Algic,5,3.322580645,North America
736,Phula (Viet Nam),phula (Viet Nam),pula (Vietnam),Viet Nam,"ypa, ypg, ypo, yip, ypn, yhl, ypb, phh, ypm, ypp, yph, ypz",Definitely endangered,NA,NA,9046,22.7833,105.4666,NA,1318,0.2,1.4,5050,424,NA,87.97,61756,31007,30.7,5.1,6,NA,NA,4,3.821428571,Unspecified
737,Dol-po,dolpo,dolpo,Nepal,dre,Definitely endangered,D'ölpo; Phoke Dolpa; Dolpa Tibetan; Dolpike,NA,9000,29.2193,83.0676,Dolpa district up to Tibetan border,603,0.3,0.2,603,93,1090,27.01,581889,14335,7.9,3.8,5,NA,NA,4,3.85915493,Asia
738,Helong,helong,helong,Indonesia,heg,Severely endangered,NA,NA,9000,-10.1905,123.5247,Timor,3122,0.1,1.6,7003,1142,8179,241.83,307487,181157,10.9,2.8,3,Papunesia,Austronesian,3,3.577181208,Asia
739,Lisela,lisela,lisela,Indonesia,lcl,Vulnerable,NA,NA,9000,-3.2392,127.0239,Maluku,3122,0.1,1.6,7003,1142,8179,241.83,307487,181157,10.9,2.8,3,Papunesia,Austronesian,5,3.577181208,Asia
740,Motuo Menba,menba de Motuo,monpa de Motuo,China,tsj,Definitely endangered,Eastern Monpa,NA,9000,28.664,94.0347,"Arunachal Pradesh, West Siang Dt., esp. in and around Menchuka",4447,1.7,5.9,55664,859,44693,1368.81,849861,942470,34.3,NA,4.2,NA,NA,4,3.587837838,Asia
741,Motuo Menba,menba de Motuo,monpa de Motuo,India,tsj,Definitely endangered,Eastern Monpa,NA,9000,28.664,94.0347,"Arunachal Pradesh, West Siang Dt., esp. in and around Menchuka",1353,0.8,1.3,5776,758,48266,1234.28,5574018,297319,7.5,3.4,3.3,NA,NA,4,3.869346734,Asia
742,Panamahka,panamahka,panamaka,Nicaragua,sum,Vulnerable,Sumo,NA,9000,14.2856,-84.5947,Community of Musawas,1504,0,0.7,1011,121,146,5.82,37345,12034,10,4.5,7.7,North America,Misumalpan,5,2.818181818,North America
743,Zuni,zuni,zuñí,United States of America,zun,Vulnerable,NA,NA,9000,35.082,-108.76,Zuni Pueblo in western New Mexico.,48516,2.7,17.3,60010,1152,11868,309.01,44183643,914742,71.7,5,16.3,North America,NA,5,2.40969163,Unspecified
744,Mopán (Belize),mopán (Belize),mopán (Belize),Belize,mop,Severely endangered,NA,NA,8980,16.2449,-88.8654,"Toledo, Stann Creek, Cayo",4271,NA,NA,242,92,7,0.32,46390,2281,28.2,6.7,5.6,NA,NA,3,4.25,North America
745,Tulishi,tulishi,tulishi,Sudan,tey,Severely endangered,"Thulesh, Thulishi, Kuntulishi",NA,8628,11.5984,29.0917,NA,1584,0.3,0.3,495,112,754,34.55,618709,184923,16.7,2.2,5.1,Africa,Kadugli-Krongo,3,3.030769231,Africa
746,Central Cuicatec,cuicatèque central,cuicateco central,Mexico,"cux, cut",Vulnerable,dbaku,NA,8621,17.8,-96.961,"Several municipalities in the state of Oaxaca, among them: Concepción Pápalo, San Juan Bautista Cuicatlán,  San Juan Tepeuxila, San Pedro Sochiapan, Santa María Pápalo, and Santos Reyes Pápalo",9271,0.5,3.9,23290,943,4055,114.09,969710,194395,31.1,5.2,6,NA,NA,5,3.846153846,North America
747,Ts'amay,ts'amakko,tsamai,Ethiopia,tsb,Definitely endangered,Tsamai,NA,8621,5.4382,37.2463,NA,300,0.2,0.1,468,120,597,87.64,568748,112925,0.8,4.5,5.5,NA,NA,4,3.321428571,Africa
748,Phalura,phalura,phalura,Pakistan,phl,Definitely endangered,"Palula, Palola, Phalulo, Dangarik, Biyori",NA,8600,35.7264,71.7434,"Eight villages in Sourthern Chitral, near Drosh, NWFP, Pakistan",973,0.4,0.7,907,109,4154,179.42,3943681,77088,8,2.3,2.6,NA,NA,4,4.037037037,Asia
749,Northern Popoloc,popoloc septentrional,popoloca septentrional,Mexico,NA,Vulnerable,ngigua,NA,8597,18.6818,-97.658,"Municipality of Tlacotepec de Benito Juárez, state of Puebla",9271,0.5,3.9,23290,943,4055,114.09,969710,194395,31.1,5.2,6,NA,NA,5,3.846153846,North America
750,Ixcatlán Mazatec,mazatèque d'Ixcatlán,mazateco de Ixcatlán,Mexico,mzi,Vulnerable,"en ningotsie, Mazateco de la presa bajo",NA,8593,18.1447,-96.4855,"Municipality of San Pedro Ixcatlán, state of Oaxaca",9271,0.5,3.9,23290,943,4055,114.09,969710,194395,31.1,5.2,6,North America,Otomanguean,5,3.846153846,North America
751,Patla-Chicontla Totonac,totonaque de Patla-Chicontla,totonacano de Patla,Mexico,tku,Severely endangered,"Totonaco del rio Necaxa, Upper Necaxa Totonac",NA,8590,20.1644,-97.6927,"Patla, Chicontla, San Pedro Tlaolantongo in the municipality of Jopala, state of Puebla; Zihuatleutla, state of Puebla",9271,0.5,3.9,23290,943,4055,114.09,969710,194395,31.1,5.2,6,NA,Bookkeeping,3,3.846153846,North America
752,Toram,toram,toram,Chad,trj,Severely endangered,NA,NA,8456,11.1581,19.6023,NA,918,0.3,NA,71,30,124,11.95,417034,125920,1.7,2,4.1,Africa,Afro-Asiatic,3,2.896551724,Africa
753,Northwestern Tlapanec,tlapanèque nord-occidental,tlapaneco noroccidental,Mexico,NA,Vulnerable,NA,NA,8409,17.5595,-98.9332,"Municipality of Atlixtac, state of Guerrero",9271,0.5,3.9,23290,943,4055,114.09,969710,194395,31.1,5.2,6,NA,NA,5,3.846153846,North America
754,Dene,dene,dené,Canada,chp,Vulnerable,Chipewyan,NA,8195,56.4807,-109.4127,Spread over 28 communities in Canada,47361,1.8,15.5,16219,77,1812,34.15,6761226,896559,80.3,5.3,10.7,NA,NA,5,3.322580645,North America
755,Micmac (Massachusetts),micmac (Massachusetts),micmac (Massachussets),United States of America,mic,Definitely endangered,"Mi´kmaq, Mi’gmaq, Miikmaq, Mi'gmaw",NA,8145,42.3589,-71.0578,"The majority of U.S. speakers live in the Boston, Massachusetts area; Canadian communities are Restigouche, Quebec; Big Cove, New Brunswick; and Eskasoni,  Nova Scotia.",48516,2.7,17.3,60010,1152,11868,309.01,44183643,914742,71.7,5,16.3,NA,NA,4,2.40969163,Unspecified
756,Argobba,argobba,argobba,Ethiopia,agj,Critically endangered,NA,NA,8000,10.5958,39.9792,NA,300,0.2,0.1,468,120,597,87.64,568748,112925,0.8,4.5,5.5,Africa,Afro-Asiatic,2,3.321428571,Africa
757,Austral dialects,dialectes des Iles Australes,dialectos de las islas Australes,French Polynesia (France),aut,Definitely endangered,"Rurutu, Tupuai, Rimatara, Raivavae",NA,8000,-23.3775,-149.4909,"Austral Islands (Rurutu, Tupuai, Rimatara, Raivavae)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3.5,Unspecified
758,Belanda Bor,belanda bor,belanda bor,Sudan,bxb,Definitely endangered,De Bor,NA,8000,6.4954,27.7404,NA,1584,0.3,0.3,495,112,754,34.55,618709,184923,16.7,2.2,5.1,Africa,Nilotic,4,3.030769231,Africa
759,Feroge,feroge,feroge,Sudan,fer,Vulnerable,Kaligi (dialect? Indri),NA,8000,8.5049,25.7189,NA,1584,0.3,0.3,495,112,754,34.55,618709,184923,16.7,2.2,5.1,Africa,Atlantic-Congo,5,3.030769231,Africa
760,Hachijō,hachijō,hachijō,Japan,NA,Definitely endangered,NA,NA,8000,33.11,139.7891,the Hachijō and Aogashima Islands of the Izu Archipelago south of Tokyo; an outlying dialect of Japanese not listed at all by the SIL,44344,3.1,8.8,8611,330,3657,128.54,2134151,36450,78.2,3.6,9.2,Eurasia,Japonic,4,3.5,Asia
761,Inga,inga,inga,Colombia,"inb, inj",Severely endangered,"Inga, Ingano",NA,8000,1.1658,-77.0011,"Sibundoy Valley in and around Santiago, San Andrés and Colón; Aponte (Department of Nariño)",6337,0.2,1.3,1405,681,1398,45.22,130309,110950,36.5,4.8,7.1,NA,NA,3,3.492753623,South America
762,Kanga,kanga,canga,Sudan,kcp,Severely endangered,NA,NA,8000,10.844,29.4708,NA,1584,0.3,0.3,495,112,754,34.55,618709,184923,16.7,2.2,5.1,Africa,Kadugli-Krongo,3,3.030769231,Africa
763,Lajia,lajia,lakia,China,lbc,Definitely endangered,"Lakkia, Chashan Yao",NA,8000,23.7439,110.0526,NA,4447,1.7,5.9,55664,859,44693,1368.81,849861,942470,34.3,NA,4.2,NA,NA,4,3.587837838,Asia
764,Lakha,lakha,lakha,Bhutan,lkh,Definitely endangered,Tsangkha,NA,8000,27.5898,90.3735,’Wangdi Phodr’a district,2313,NA,NA,41,59,13,0.69,48420,3812,13.6,4.1,3.5,Eurasia,Sino-Tibetan,4,4.526315789,Asia
765,Mbya Guarani (Paraguay),mbyá guarani (Paraguay),guaraní mbyá (Paraguay),Paraguay,gun,Definitely endangered,NA,NA,8000,-26.5099,-55.2832,NA,4360,0,0.8,465,48,230,6.25,160299,39730,19.8,2.8,4.6,NA,NA,4,3.416666667,South America
766,Mundurukú,mundurukú,mundurucú,Brazil,myu,Vulnerable,Mundurucu,NA,8000,-8.1027,-57.3486,NA,11286,1.2,1.9,5161,773,9284,195.71,592640,835814,40.7,5.6,7.9,South America,Tupian,5,3.747368421,South America
767,Ojibwe,ojibwe,oyibua,United States of America,ciw,Severely endangered,"Anishinaabemowin, Ojibwa, Chippewa",NA,8000,46.0706,-93.6677,"Spoken in the states of Minnesota, Wisconsin, and Michigan.",48516,2.7,17.3,60010,1152,11868,309.01,44183643,914742,71.7,5,16.3,NA,NA,3,2.40969163,Unspecified
768,Quichua (Salasaca),quichua (Salasaca),quichua (Salasaca),Ecuador,"qxr, qug, qvi, qvj, qvo, qvz, qxl",Definitely endangered,"Kichwa, Runashimi, Runa simi, Salasaca Quichua, Quichua Salasaca Highland (Ethnologue)",NA,8000,-1.3511,-78.6511,"Province of Tungurahua (Central Highlands), San Pedro de Pelileo county, García Moreno and  Salasaca Parishes",4634,0.4,2.1,1047,2255,700,15.01,375253,24836,29,4.5,7.1,NA,NA,4,3.3,South America
769,Rongpo,rongpo,rangpo,India,rnp,Vulnerable,NA,NA,8000,30.7229,79.7387,"Uttarakhand, Chamoli dt.",1353,0.8,1.3,5776,758,48266,1234.28,5574018,297319,7.5,3.4,3.3,Eurasia,Sino-Tibetan,5,3.869346734,Asia
770,Sanyi,sanyi,sanie,China,ysy,Severely endangered,"Sa'nguie, Bai Yi",NA,8000,24.9262,102.5134,NA,4447,1.7,5.9,55664,859,44693,1368.81,849861,942470,34.3,NA,4.2,NA,NA,3,3.587837838,Asia
771,Temuan,temuan,temuano,Malaysia,tmw,Severely endangered,NA,NA,8000,3.3709,101.984,NA,9041,1,6.7,24577,1180,1099,28.21,2417395,32855,56.3,5.8,3.2,Eurasia,Austronesian,3,2.64,Asia
772,Tingal,tingal,tingal,Sudan,tie,Definitely endangered,Kajaja,NA,8000,12.238,31.1215,NA,1584,0.3,0.3,495,112,754,34.55,618709,184923,16.7,2.2,5.1,Africa,Bookkeeping,4,3.030769231,Africa
773,Wampis,huambisa (wampis),huambisa,Peru,hub,Vulnerable,"Huambisa, Wambisa",NA,8000,-3.4476,-77.7941,Departamentos de Amazonas  y Loreto; cuenca de  ríos Morona y Santiago.,5082,0.2,1.4,2299,551,896,29.03,104706,128000,34.8,2.9,4.7,NA,NA,5,3.209677419,South America
774,Wunai Bunu,bunu wunai,bunú wunai,China,bwn,Definitely endangered,Ngnai Bunu,NA,8000,24.4146,107.8378,NA,4447,1.7,5.9,55664,859,44693,1368.81,849861,942470,34.3,NA,4.2,Eurasia,Hmong-Mien,4,3.587837838,Asia
775,Yanesha,yanesha,amuesa,Peru,ame,Severely endangered,Amuesha,NA,8000,-10.3743,-75.2343,"Depto. de  Cerro de Pasco, Prov. de  Oxapampa, cuenca de  río Palcazu.
Depto. de Junín, Prov. de Chanchamayo, alto Perené.",5082,0.2,1.4,2299,551,896,29.03,104706,128000,34.8,2.9,4.7,NA,NA,3,3.209677419,South America
776,Mam (Mexico),mam (Mexique),mam (México),Mexico,NA,Severely endangered,"qyool, banax in Soconusco",NA,7977,17.3661,-93.5334,"Locality of Chimalapa  and others in Municipality of  Mazapa de Madero, municipalities of Amatenango de la Frontera, Bejucal de Ocampo, Comalapa, Huehuetán, Mototzintla, and others in the state of Chiapas; municipalities of Campeche and Othón P. Blanco in the state of Campeche",9271,0.5,3.9,23290,943,4055,114.09,969710,194395,31.1,5.2,6,NA,NA,3,3.846153846,North America
777,Pana,pana,pana,Burkina Faso,png,Definitely endangered,NA,NA,7800,13.165,-3.4277,NA,647,0.2,NA,274,24,98,15.61,674438,27360,2.4,3.5,5.9,Africa,Atlantic-Congo,4,4,Africa
778,Macushi (Guyana),macushi (Guyane),macusí (Guyana),Guyana,mbc,Vulnerable,"Makuxí, Makushi",NA,7750,3.6888,-59.4799,Rupununi savannahs in the southwestern part of Guyana. More in Roraima (Brazil).,4581,NA,NA,152,69,25,0.75,8182,19685,29.9,3.6,5.9,NA,NA,5,3.666666667,South America
779,Chukchi,tchouktche,chukoto,Russian Federation,ckt,Severely endangered,Luoravetlan,NA,7742,67.6248,176.1767,most parts of Chukchi Autonomous District and adjacent regions in Koryak Autonomous District and Lower Kolyma (Nizhnekolymskiy) County in the Republic of Sakha (Yakutia),10732,1.1,10.7,22281,126,3210,143.48,11194710,1637687,43,4.1,5,Eurasia,Chukotko-Kamchatkan,3,3.135135135,Europe
780,Cabécar,cabecar,cabécar,Costa Rica,NA,Vulnerable,NA,NA,7622,9.9012,-83.6844,Atlantic watershed and southern Pacific slopes of the Talamanca range in southern Costa Rica according to Constenla,8142,0.5,1.4,2100,285,127,4.58,405779,5106,36.5,6.6,8.1,North America,Chibchan,5,3.375,North America
781,Awa Cuaiquer,awa-cuaiquer,cuaiquer,Colombia,kwi,Critically endangered,"Kwaiker, Awa Pit (language), Awa (people)",NA,7500,1.4939,-78.5742,"Mainly in the department of Nariño, adjacent to Ecuador, between Pasto and the  Pacific ocean",6337,0.2,1.3,1405,681,1398,45.22,130309,110950,36.5,4.8,7.1,NA,NA,2,3.492753623,South America
782,Lishana Deni (Israel),lishana deni (Israël),lishana deni  (Israel),Israel,lsd,Severely endangered,"Lishan Hudaye, Lishan Hozaye, Judeo Aramaic, Jewish Northeastern Neo-Aramaic",NA,7500,31.7748,35.1013,Jerusalem and  vicinity and in the rest of the country.  Population immigrated  from northwest Iraqi Kurdistan in early 1950's.,31852,3.9,9,2803,131,341,7.35,1956190,2164,67.5,5.5,7,NA,NA,3,3.307692308,Asia
783,Central Pame,pamé central,pame central,Mexico,pbs,Vulnerable,xi'oi,NA,7399,21.9208,-99.3741,"Santa Catarina, Tamasopo (state of San Luis Potosí)",9271,0.5,3.9,23290,943,4055,114.09,969710,194395,31.1,5.2,6,North America,Otomanguean,5,3.846153846,North America
784,Puinave,puinave,puinave,Colombia,pui,Definitely endangered,Wansöjöt,NA,7377,4.434,-68.1591,Colombia: On the Inirida river in the department of Guainía. Also in Guaviare and Vichada. Venezuela: In Atabapo (Amazonas).,6337,0.2,1.3,1405,681,1398,45.22,130309,110950,36.5,4.8,7.1,South America,NA,4,3.492753623,South America
785,Puinave,puinave,puinave,Venezuela (Bolivarian Republic of),pui,Definitely endangered,Wansöjöt,NA,7377,4.434,-68.1591,Colombia: On the Inirida river in the department of Guainía. Also in Guaviare and Vichada. Venezuela: In Atabapo (Amazonas).,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,South America,NA,4,3.676470588,Unspecified
786,Mebengokre,mebengokre,cayapó,Brazil,txu,Vulnerable,"Kayapó, Xikrin, Put Karot, Mebengokre",NA,7266,-6.5569,-52.4707,"Both the Kayapó and the Xikrin call themselves Mebengokre and speak dialects of the same language.  Older Xikrin don't consider themselves Kayapó.  The various village names (A'ukre, Gorotire, Kokrimoro, etc) are often confused with dialects or languages.",11286,1.2,1.9,5161,773,9284,195.71,592640,835814,40.7,5.6,7.9,NA,NA,5,3.747368421,South America
787,Tunebo,tunebo,tunebo,Colombia,"tnd, tbn, tuf, tnb",Definitely endangered,"U'wa (people), Uw Kuwa (language)",NA,7231,6.4463,-72.0483,"Departments of Boyacá (eastern slopes of the Siera Nevada del Cocuy), Norte de Santander, Casanare and Arauca (Colombia).",6337,0.2,1.3,1405,681,1398,45.22,130309,110950,36.5,4.8,7.1,NA,Chibchan,4,3.492753623,South America
788,Tunebo,tunebo,tunebo,Venezuela (Bolivarian Republic of),"tnd, tbn, tuf, tnb",Definitely endangered,"U'wa (people), Uw Kuwa (language)",NA,7231,6.4463,-72.0483,"Departments of Boyacá (eastern slopes of the Siera Nevada del Cocuy), Norte de Santander, Casanare and Arauca (Colombia).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chibchan,4,3.676470588,Unspecified
789,Quechua of Peruvian Amazonia,quechua de l'Amazonie péruvienne,quechua amazónico peruano,Peru,"qln, qlb",Vulnerable,"Quichua, Quichua amazónico",NA,7200,-2.3723,-74.1137,"Preferentemente  en el Dpto. de  Loreto, pero también en algunas  zonas de  Madre de Dios.",5082,0.2,1.4,2299,551,896,29.03,104706,128000,34.8,2.9,4.7,NA,NA,5,3.209677419,South America
790,Asur,asuri,asuri,India,asr,Definitely endangered,"Asuri, Assur",NA,7000,22.4719,84.9023,NA,1353,0.8,1.3,5776,758,48266,1234.28,5574018,297319,7.5,3.4,3.3,NA,NA,4,3.869346734,Asia
791,Bashkardi,bashkardi,baskardí,Iran (Islamic Republic of),bsg,Definitely endangered,Bashaka,NA,7000,28.5169,57.7551,"Eastern Hormozgan, Southern Kerman, and possibly southwestern Sistan and Baluchistan provinces.",6658,0.3,6.8,2938,102,4025,73.76,2722397,162876,15.9,3.7,6.8,Eurasia,Indo-European,4,3.6,Unspecified
792,Burji,burji,buryí,Kenya,bji,Vulnerable,NA,NA,7000,2.1857,37.9248,NA,952,0.8,0.3,1470,338,1523,42.03,954925,56914,7.2,5.5,6.1,Africa,Afro-Asiatic,5,2.384615385,Africa
793,Choyi,choyi,queyu,China,qvy,Definitely endangered,Queyu,NA,7000,30.8519,99.6659,NA,4447,1.7,5.9,55664,859,44693,1368.81,849861,942470,34.3,NA,4.2,NA,NA,4,3.587837838,Asia
794,Gazi,gazi,gazi,Iran (Islamic Republic of),gzi,Definitely endangered,NA,NA,7000,32.8036,51.6211,"Gaz region, Iran",6658,0.3,6.8,2938,102,4025,73.76,2722397,162876,15.9,3.7,6.8,Eurasia,Indo-European,4,3.6,Unspecified
795,Guichong,guiqiong,guichión,China,gqi,Vulnerable,NA,NA,7000,30.8148,101.7021,NA,4447,1.7,5.9,55664,859,44693,1368.81,849861,942470,34.3,NA,4.2,NA,NA,5,3.587837838,Asia
796,Karagash,karagash,tofa,Russian Federation,NA,Definitely endangered,NA,NA,7000,47.2643,47.2412,Krasnoyarskiy and Kharabali counties in Astrakhan Province; an outlying dialect of Nogay not listed at all by the SIL,10732,1.1,10.7,22281,126,3210,143.48,11194710,1637687,43,4.1,5,Eurasia,Turkic,4,3.135135135,Europe
797,Natanzi,natanzi,natanzí,Iran (Islamic Republic of),ntz,Severely endangered,NA,NA,7000,33.452,51.3006,"Natanz, Isfahan Province, Iran",6658,0.3,6.8,2938,102,4025,73.76,2722397,162876,15.9,3.7,6.8,Eurasia,Indo-European,3,3.6,Unspecified
798,Nayini,nayini,nayiní,Iran (Islamic Republic of),nyq,Severely endangered,Biyabanak,NA,7000,32.8519,53.1573,"Nayin and Anarak, Esfahan Province, Iran",6658,0.3,6.8,2938,102,4025,73.76,2722397,162876,15.9,3.7,6.8,Eurasia,Indo-European,3,3.6,Unspecified
799,Parya,parya,parya,Uzbekistan,paq,Severely endangered,"""Парйа"", ""Afghana-Yi Nasfurush"","" Afghana-Yi Siyarui"",""Laghmani""",NA,7000,38.5094,68.0932,"Hissor Valley of western Tajikistan, Surkhandarya Valley of Uzbekistan and Kunduz region of Afghanistan",1645,0.2,4.2,975,50,1599,28.52,1220149,42540,15.9,5.8,5.1,Eurasia,Indo-European,3,3.666666667,Asia
800,Parya,parya,parya,Tajikistan,paq,Severely endangered,"""Парйа"", ""Afghana-Yi Nasfurush"","" Afghana-Yi Siyarui"",""Laghmani""",NA,7000,38.5094,68.0932,"Hissor Valley of western Tajikistan, Surkhandarya Valley of Uzbekistan and Kunduz region of Afghanistan",750,0.1,0.3,160,40,206,7.53,279808,13996,11.6,4,5.7,Eurasia,Indo-European,3,3.545454545,Asia
801,Parya,parya,parya,Afghanistan,paq,Severely endangered,"""Парйа"", ""Afghana-Yi Nasfurush"","" Afghana-Yi Siyarui"",""Laghmani""",NA,7000,38.5094,68.0932,"Hissor Valley of western Tajikistan, Surkhandarya Valley of Uzbekistan and Kunduz region of Afghanistan",504,NA,NA,NA,34,567,29.19,102276,65286,4,3.5,8.6,Eurasia,Indo-European,3,3.695652174,Asia
802,Segeju,segeju,daiso,United Republic of Tanzania,seg,Severely endangered,NA,NA,7000,-4.8173,39.0783,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Africa,Atlantic-Congo,3,3.333333333,Unspecified
803,Sivandi,sivandi,sivandi,Iran (Islamic Republic of),"siy, faz",Definitely endangered,NA,NA,7000,29.9168,51.5945,"Sivand, Fars Province , Iran",6658,0.3,6.8,2938,102,4025,73.76,2722397,162876,15.9,3.7,6.8,Eurasia,Indo-European,4,3.6,Unspecified
804,Soi,soi,soi,Iran (Islamic Republic of),soi,Definitely endangered,NA,NA,7000,31.6533,55.6787,Central Iran,6658,0.3,6.8,2938,102,4025,73.76,2722397,162876,15.9,3.7,6.8,Eurasia,Indo-European,4,3.6,Unspecified
805,Tucano (Brazil),tucano (Brésil),tucano (Brasil),Brazil,tuo,Vulnerable,"Tukáno, Tucano, Ye'pã-masa, Dasea",NA,7000,0.1757,-67.2363,"Tukano is spoken by various people who are not ethnically Tukano, increasing the speaker numbers",11286,1.2,1.9,5161,773,9284,195.71,592640,835814,40.7,5.6,7.9,NA,NA,5,3.747368421,South America
806,Wapishana (Guyana),wapishana (Guyane),wapishana (Guyana),Guyana,wap,Vulnerable,Wapixána,NA,7000,2.3065,-59.6997,"Southwestern part of Guyana (area of Lethem, western tributaries of the Essequibo). State of Roraima, Brazil.",4581,NA,NA,152,69,25,0.75,8182,19685,29.9,3.6,5.9,NA,NA,5,3.666666667,South America
807,Yulu,yulu,yulu,Central African Republic,yul,Vulnerable,NA,NA,7000,8.3854,24.1754,NA,488,NA,NA,54,36,22,4.39,94685,62298,2,1.1,3.7,Africa,Central Sudanic,5,3.2,Africa
808,Yulu,yulu,yulu,Democratic Republic of the Congo,yul,Vulnerable,NA,NA,7000,8.3854,24.1754,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Africa,Central Sudanic,5,2.666666667,Unspecified
809,Yulu,yulu,yulu,Sudan,yul,Vulnerable,NA,NA,7000,8.3854,24.1754,NA,1584,0.3,0.3,495,112,754,34.55,618709,184923,16.7,2.2,5.1,Africa,Central Sudanic,5,3.030769231,Africa
810,Zhaba,zhaba,chaba,China,zhb,Vulnerable,Zaba,NA,7000,31.4,100.4734,NA,4447,1.7,5.9,55664,859,44693,1368.81,849861,942470,34.3,NA,4.2,Eurasia,Sino-Tibetan,5,3.587837838,Asia
811,Sakapultek,sakapultèque,sacapulteco,Guatemala,quv,Definitely endangered,NA,NA,6973,14.9752,-91.0527,Sacapulas,2781,0,0.7,1119,230,351,14.63,66386,10716,10.5,2.8,6.1,NA,NA,4,4.347826087,North America
812,Chara,chara,chara,Ethiopia,cra,Vulnerable,NA,NA,6932,6.479,36.3647,NA,300,0.2,0.1,468,120,597,87.64,568748,112925,0.8,4.5,5.5,Africa,Ta-Ne-Omotic,5,3.321428571,Africa
813,Kosraean,kosrae,kosreano,Micronesia (Federated States of),kos,Severely endangered,Kusaie,NA,6900,5.322,162.9904,Also spoken on Nauru,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Papunesia,Austronesian,3,3.153846154,Unspecified
814,Kosraean,kosrae,kosreano,Nauru,kos,Severely endangered,Kusaie,NA,6900,5.322,162.9904,Also spoken on Nauru,5925,NA,NA,NA,74,0,0.01,906,2,62.4,4.2,13.2,Papunesia,Austronesian,3,3,Oceania
815,Waunana (Panama),waunana (Panama),waumeo (Panamá),Panama,noa,Severely endangered,"Waunmeo, Waunana, Waumeu, Nonama, Chocame, Chanco",NA,6882,8.2984,-78.1018,Southern Panama Lowlands,8082,0.1,2.4,1324,347,102,3.64,157788,7434,40.1,3.2,7.1,NA,NA,3,3.777777778,North America
